UNNAMED: 0;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS;ETAPA;OBS;AVANÇO;SUPERVISOR;AR;CARTEIRA;V. PROJETO;VALOR REAL;PIN;PLANO;AVANÇO.1;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;CONCRETO ENVIADO;PROVAVEL ROCHA;DT I PROG;DT F PROG;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;AS BUILT;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;COORD;CARTEIRA_FATO;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102364012;B-1234183;ER-CIND-FAZ-TAMBURI 220-RURAL;GAVIÃO;HERMOGENES;ENERGIZADA;ENERGIZADA;programarar maquina cava, 4 podas;;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 11.931,60;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,573993;-39,713664;;A265031;;E919684 AO E919689;;LANÇADO CONCRETO-07/01/2026;19/12/2025;;16/01/2026;;2026-5950;ENCABEÇAMENO DE REDE BT NO POSTE A242507 E ENERGIZAR OBRA;N;;N;;;;1;6;6,00;;;;;;;17/01/2026;20/01/2026;29/01/2026;;;23/01/26;23/01/2026;ok;PENDENTE;;JACOBINA;2026-01-01;1234183;Consolidado;N/A
9102244026;B-1194733;AC-GRUA-RUA-CAMINHO DAS ARVORES -19;VÁRZEA NOVA;ANTONIO;ENERGIZADA;ENERGIZADA;DESL0I. ( ABRIR CHAVE TRAFO  J17609 substituir rede bt entre os  postes Q154217, Q154233 e D102642.  LV ( ENCABEÇAMENTO DE REDE MT NU PARA REDE COMPACTA  N3 CE3  NO POSTE Q154236);;EDLECIO;ERIC TEIXEIRA;12/11/2025;R$ 60.283,06;R$ 12.918,77;7.1.1.3;PLANO 7;100%;NÃO;GOVERNO;-11,258890;-40,946320;;Q154236;;E899654;;02/12/2025;17/11/2025;OK;19/01/2026;;CRIAR;;CRIAR;;2026-2912;DESL0I. ( ABRIR CHAVE TRAFO  J17609 substituir rede bt entre os  postes Q154217, Q154233 e D102642.  LV ( ENCABEÇAMENTO DE REDE MT NU PARA REDE COMPACTA  N3 CE3  NO POSTE Q154236);22/1;;1;4;4,00;100,00%;;;#DIV/0!;;;21/01/2026;22/01/2026;21/01;;;22/01/2026;22/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1194733;Consolidado;N/A
9102327983;B-1227089;RC-CIND-RUA-REINALDO JAC VIEIRA-PERU;JACOBINA;OLISVALDO;INICIADA;ALOCAÇÃO;MIGRADA PRA FEVEREIRO;;EDLECIO;RAFAEL CRUZ;07/01/26;R$ 18.330,79;;;PLANO 8;;;;-11,184922;-40,519692;;R006079;;;;;08/01/2026;;;;;;CRIAR;TENSIONAR CONDUTOR NU ENTRE O PG  D102752 E D226854 / INSTALAR POSTE 9 A 14 METROS ENTRE PG   B689148 E D102752;CRIAR;DESLIG. CHAVE xxxxx RETIRAR CHAVE FUSIVEL NO PG D234581, RETIRAR CONDUTOR NU  ENTRE OS PG D226854 ,B689148 D102752, E R006081, RETIRAR POSTE 9 A 14 METROS  entre os pg B689148 e D102752. / NSTALAR CABO MULTIPLEX 35 A 70 MM2, / NSTALAR CONDUTOR NU / INSTALAR POSTE 9 A 14 METROS;DEFINIR;;1,00;1,0;;;;;;;;22/01/2026;31/01/26;;;;;;;;;JACOBINA;2026-01-01;1227089;Consolidado;N/A
9101734073;B-1033157;MP-CCOL-POV-INGAZEIRA-RURAL;TAPIRAMUTÁ..;ALESSANDRO, ANTONIO;INICIADA;LANÇAMENTO DE REDE;MIGRADA PRA FEVEREIRO;;ANDERSON;RICARDO BRITO;12/11/2025;R$ 895.710,67;;14.7.2003;PLANO 14;100%;NÃO;JUDICIAL;-11,898634;-40,801908;;;;;;02/12/2025;17/11/2025;OK;04/12/2025;;CRIAR;;;;criar;;27/12/2025;;2;73;65,00;89,04%;80;63;78,75%;;;01/12/2025;23/12/2025;30/01/26;;;;;;;EM ANDAMENTO/ PODA;JACOBINA;2026-01-01;1033157;Consolidado;N/A
9102145474;B-1184679;EQ-COEL-CO-ALTO BONITO-RURAL;CALDEIRÃO GRANDE;OLISVALDO;INICIADA;ALOCAÇÃO;FALTA REGULADOR TENSÃO - 1000015 RT 13,8KV 276KVA 200A 1F 01und - VERIFICAR COM FABRICIO;;ANDERSON;RAFAEL CRUZ;12/11/2025;R$ 402.104,27;;8.2.2.3;PLANO 8;100%;NÃO;PERDAS TÉCNICAS;-10,992291;-40,344884;;R013203;;E899649 AO E899650;;;17/11/2025;ok;08/12/2025;;;;2025-149915;;;;;;0;2;;0,00%;;;#DIV/0!;;;06/12/2025;23/12/2025;23/01/26;;;;;;;;JACOBINA;2026-01-01;1184679;Consolidado;N/A
9102341646;B-1227403;COEL-ROD-BA130-CAPIM GROSSO-COMPLEMENTO;CAPIM GROSSO;JOSE MISAEL;INICIADA;IMPLANTAÇÃO;;;EDUARDO;WELLINGTON SOUZA - U470124;;R$ 267.935,01;;;;;;;;;;;;;;;;;;;;;;;CRIAR;;19/01/26;;;9,0;0,00;;;;;9;;01/06/2025;12/12/2025;29/01/26;;;;;;;;JACOBINA;2026-01-01;1227403;Consolidado;N/A
9102336569;B-1218813;RC-CIND-POV-CANAVIEIRA-NAZARE;JACOBINA;JOSE MISAEL;INICIADA;IMPLANTAÇÃO;manobra pro dia 22/01/26;;EDUARDO;NATALICIO SILVA;12/11/2025;R$ 66.669,84;R$ 11.879,17;8.6.2003;PLANO 8;100%;NÃO;INSTITUCIONAL;-11,330276;-40,170730;;R001803;;E899778 AO E899782;;02/12/2025;17/11/2025;OK;05/12/2025;;CRIAR;;;;andamento;DESLIGAMENTO DO TRAFO J23161 SUBSTITUIÇÃO DE REDE BT NOS POSTE R001232 ,R001231, R001229 -  DESLIGAMENTO ATIIVIDADE DA MANOBRA - REALOCAR CONDUTOR MT DO POSTE R001803 AO D934392.  E RETIRAR POSTE MT R001229 DE VIA PUBLICA.;16/01/26;;0;5;7,00;140,00%;;;#DIV/0!;;;13/12/2025;17/12/25;24/01/26;;;;;;;;JACOBINA;2026-01-01;1218813;Consolidado;N/A
9101856252;B-1073291;MP CIND RUA DO CRUZEIRO RURAL;MIRANGABA;EUDARIO;INICIADA;IMPLANTAÇÃO;FALTA ALÇA E TRAFO - 211190 TRAFO 1FF 10KVA 34,5KV 220V 3T MI  - 3430120 ALCA PREF DIST ALUM 4AWG 430MM;;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 141.307,86;R$ 34.813,94;14.4.12.1;PLANO 14;100%;NÃO;LPT;-10,7048332;-40.7767819;;E070995;1043552;E919753 AO E919766;;03/12/2025;17/11/2025;OK;05/12/2025;;CRIAR;;criar;;;;;;1;14;14,00;100,00%;14;14;100,00%;;;10/12/2025;23/12/25;30/01/26;;;;;;;;JACOBINA;2026-01-01;1073291;Consolidado;N/A
9102343390;B-1232827;ER-CIND-POV-TRICHEIRA-RURAL;MIRANGABA;EUDARIO;ENERGIZADA;ENERGIZADA;;;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 41.620,46;R$ 6.472,45;7.1.2.3;PLANO 7;100%;NÃO;PRIORIDADE PLANO ANEEL;-10,6885009;-40,8847083;;E874368;;E878576 AO E878578;;02/12/2025;17/11/2025;OK;04/12/2025;;CRIAR;;criar;;;;;;2;3;3,00;100,00%;;;#DIV/0!;;;22/12/2025;;24/01/26;;;15/01/2026;15/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1232827;Consolidado;N/A
9101832834;B-1066103;MP-CIND-FAZ COLONIA 96-RURAL;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;INICIADA;IMPLANTAÇÃO;FALTA ALÇA E TRAFO - 210422 TRAFO 1FF 10KVA 13,8KV 220V 5T MI  -  3430120 ALCA PREF DIST ALUM 4AWG 430MM;;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 173.942,65;R$ 78.949,75;14.7.2003;PLANO 7;100%;NÃO;PLANO 7;-11,463893;-40,360456;;B253439;1043557;E919696 AO E919731;;24/11/2025;17/11/2025;;;;CRIAR;TRANSFERENCIA  DE REDE BT ABRIR PASAGEM.;2 CRIAR;;;;;;4;40;38,00;95,00%;40;21;52,50%;;;02/12/2025;23/12/25;23/01/26;;;;;;;OK/ PODA;JACOBINA;2026-01-01;1066103;Consolidado;N/A
9102301613;B-1212111;AC-CIND-FAZ-BAIXA DO MOREIRA-RURAL;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;ENERGIZADA;ENERGIZADA;concluida hoje;;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 159.738,74;R$ 38.217,79;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,568700;-40,291173;;D368706;;E899761 AO E899777;;01/12/2025;17/11/2025;OK;04/12/2025;;CRIAR;;CRIAR;;;;;;0;17;17,00;100,00%;;;#DIV/0!;;;18/12/2025;;31/01/26;;;26/01/2026;26/01/2026;ok;PENDENTE;OK/ PODA;JACOBINA;2026-01-01;1212111;Consolidado;N/A
9102345033;B-1226973;ER-CIND-POV-LAGINHA-LAGINHA;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;ENERGIZADA;ENERGIZADA;;;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 9.195,17;R$ 2.081,05;7.1.2.3;PLANO 7;100%;NÃO;LPT;-11,495128;-40,335696;;B893552;;E899718;;28/11/2025;17/11/2025;OK;05/12/2025;;CRIAR;;;;;;;;1;1;1,00;100,00%;;;#DIV/0!;;;05/12/2025;19/12/2025;08/01/26;;;;08/01/2026;OK;PENDENTE;;JACOBINA;2026-01-01;1226973;Consolidado;N/A
9101813634;B-1039528;MP CIND POV MALVA RURAL;VÁRZEA NOVA;EUDARIO;CARTEIRA;VISITA PREVIA;SEM MATERIAL;;EDLECIO;ERIC TEIXEIRA;12/11/2025;R$ 136.221,27;R$ 33.585,94;14.7.2003;PLANO 14;100%;NÃO;LPT;-11,155501;-40,988799;;B331331;1043550;E919668 AO E919680;;21/11/2025;17/11/2025;OK;04/12/2025;;CRIAR;;CRIAR;;;;;;1;23;6,00;26,09%;;;0,00%;;02/12/2025;10/12/2025;19/12/2025;07/02/26;;;;;;;CAVA EM ROCHA 06;JACOBINA;2026-01-01;1039528;Consolidado;N/A
